Time,ALGORITHM,No Of Nodes,NID,#Tracks,Last Track,Avg Delay,Total Energy Used, Lowest Life Node, Target Moving?,#REF!
Sun Jan 10 16:59:56 CST 2010,DIFFUSION,7,0,1275,7659.907197999997,0.004213792366617312,123.02743898379592,4:7660.7:24.996053673246756,true
Sun Jan 10 16:59:56 CST 2010,DIFFUSION,7,0,1275,7659.907197999997,0.004213792366617312,123.02743898379592,4:7660.7:24.996053673246756,false
Sun Jan 10 17:39:52 CST 2010,DIFFUSION,15,0,1118,6663.713590808694,0.013511976191514553,305.3545374796823,3:6655.6:24.99062723865324,false
Sun Jan 10 17:47:57 CST 2010,DIFFUSION,15,0,799,4043.7995983363967,0.006588655618192864,275.1081610112915,3:4040.6:24.98181622226227,true
Mon Jan 11 21:32:47 CST 2010,DIFFUSION,25,0,663,4490.871951162369,0.15809615014179174,527.1125650427344,4:3875.7:24.98917237345678,true
Mon Jan 11 21:33:53 CST 2010,DIFFUSION,25,0,695,4659.792710199357,0.14122965076167454,539.234770646284,13:3861.6:24.966814506447125,false
Mon Jan 11 21:52:45 CST 2010,DIFFUSION,20,0,927,5146.207166393713,0.023348331338726637,392.6935466932776,4:5120.7:24.9929062009025,false
Mon Jan 11 22:41:27 CST 2010,DIFFUSION,20,0,551,2835.5446548275722,9.62924189727514,431.81060348958687,5:1955.8:24.941245063526274,true
Tue Jan 12 19:09:34 CST 2010,DIRL,25,0,1311,9921.718990246603,0.07096219598668488,382.0349975495737,4:10180.7:24.993329245745088,false
Tue Jan 12 19:10:59 CST 2010,DIFFUSION,25,0,1084,5994.714020864017,0.028199897361020784,528.7025804123878,3:5995.6:24.98212193488885,false
Tue Jan 12 19:28:41 CST 2010,DIRL,7,0,1563,7945.909110884516,0.013668986451476487,89.48751918914088,4:7950.7:24.99005157418344,false
Tue Jan 12 19:29:35 CST 2010,DIRL,10,0,1837,10121.207197999996,0.03952862165892741,170.61675676280376,4:7810.7:24.99402956237772,false
Tue Jan 12 19:31:21 CST 2010,DIRL,15,0,1641,10061.711806030917,0.04551872723201032,282.8721735288956,10:7816.3:24.99387096988831,false
Thu Jan 14 06:56:23 CST 2010,DIRL,10,0,668,14176.207197999996,0.03422443466121496,163.33239623412308,8:13231.1:24.984975843680818,false
Thu Jan 14 07:00:58 CST 2010,DIRL,10,0,1633,9551.207197999996,0.03831298638520725,164.69226243067533,4:8610.7:24.99442748768544,false
Tue Jan 26 20:05:47 CST 2010,DIRL,10,0,1110,7741.2137172709745,0.025538306157973305,131.57005666798815,1:14995.4:21.465075943509724,false
Tue Jan 26 22:41:45 CST 2010,DIFFUSION,7,0,1275,7659.907197999997,0.004213792366617312,123.02743898379592,4:7660.7:24.996053673246756,false
Tue Jan 26 22:45:03 CST 2010,DIFFUSION,10,0,1223,6891.213777768573,0.010820550211427783,193.06241090828675,8:6786.1:24.990095796532664,false
Tue Jan 26 22:49:42 CST 2010,DIFFUSION,15,0,971,5605.718336230304,0.034213265946436804,300.68410542388085,8:5581.1:24.984075560396892,false
Tue Jan 26 22:58:47 CST 2010,DIFFUSION,20,0,768,5183.4095685691755,0.12357880392713692,427.3748963032605,9:4531.2:24.981664968060237,false
Tue Jan 26 23:01:33 CST 2010,DIFFUSION,7,0,1275,7659.907197999997,0.004213792366617312,123.02743898379592,4:7660.7:24.996053673246756,false
Tue Jan 26 23:04:34 CST 2010,DIFFUSION,10,0,1223,6891.213777768573,0.010820550211427783,193.06241090828675,8:6786.1:24.990095796532664,false
Tue Jan 26 23:10:49 CST 2010,DIFFUSION,15,0,971,5605.718336230304,0.034213265946436804,300.68410542388085,8:5581.1:24.984075560396892,false
Tue Jan 26 23:11:49 CST 2010,DIFFUSION,25,0,695,4659.792710199357,0.14122965076167454,539.234770646284,13:3861.6:24.966814506447125,false
Tue Jan 26 23:20:25 CST 2010,DIFFUSION,20,0,768,5183.4095685691755,0.12357880392713692,427.3748963032605,9:4531.2:24.981664968060237,false
Tue Jan 26 23:28:28 CST 2010,DIFFUSION,25,0,695,4659.792710199357,0.14122965076167454,539.234770646284,13:3861.6:24.966814506447125,false
Wed Jan 27 18:43:27 CST 2010,DIFFUSION,7,0,1275,7659.907197999997,0.004213792366617312,123.02743898379592,4:7660.7:24.996053673246756,false
Wed Jan 27 18:45:35 CST 2010,DIFFUSION,10,0,1223,6891.213777768573,0.010820550211427783,193.06241090828675,8:6786.1:24.990095796532664,false
Wed Jan 27 18:51:58 CST 2010,DIFFUSION,15,0,971,5605.718336230304,0.034213265946436804,300.68410542388085,8:5581.1:24.984075560396892,false
Wed Jan 27 19:00:53 CST 2010,DIFFUSION,20,0,768,5183.4095685691755,0.12357880392713692,427.3748963032605,9:4531.2:24.981664968060237,false
Wed Jan 27 19:09:46 CST 2010,DIFFUSION,25,0,695,4659.792710199357,0.14122965076167454,539.234770646284,13:3861.6:24.966814506447125,false
Sun Feb 21 15:09:49 CST 2010,DIRL,25,0,1519,9046.707197999996,0.06325073754000504,506.59068477105524,18:8562.1:24.99465071753497,true
