Time,Algorithm,NID,# Interests, #Data Packets, #Reinforcements, Task1, #Executions, Task2, #Executions, Task3,#Executions,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,14,71,6001,70,0,6246.7,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,15,71,5866,70,0,6236.8,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,16,64,11122,15,0,6036.9,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,17,61,4923,66,0,6467,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,18,73,22968,16,0,5347.1,,,,,,,,,
Fri Jan 01 12:28:37 CST 2010,DIRL,1,713,549,79,task-Sleep,2255,task-Diffuse,1344,0.252478666,null,,,,,
Fri Jan 01 12:28:37 CST 2010,DIRL,2,1158,570,109,task-Sleep,2209,task-Diffuse,1390,0,16100.5,,,,,
Fri Jan 01 12:28:37 CST 2010,DIRL,3,1057,847,200,task-Sleep,2078,task-Diffuse,1521,0,12140.6,,,,,
Fri Jan 01 12:28:37 CST 2010,DIRL,4,1057,600,144,task-Sleep,2077,task-Diffuse,1522,0,12300.7,,,,,
Fri Jan 01 12:28:37 CST 2010,DIRL,5,344,303,54,task-10-0,813,task-Sleep,2016,task-Diffuse,770,0,13495.8,,,
Fri Jan 01 12:28:37 CST 2010,DIRL,6,514,341,44,task-Sleep,2344,task-Diffuse,1255,1.755351263,null,,,,,
Fri Jan 01 12:28:37 CST 2010,DIRL,7,45,259,81,task-10-0,860,task-Sleep,2191,task-Diffuse,548,0.121288611,null,,,
Fri Jan 01 12:28:38 CST 2010,DIRL,8,527,328,128,task-10-0,839,task-Sleep,2008,task-Diffuse,752,0,12351.1,,,
Fri Jan 01 12:28:38 CST 2010,DIRL,9,1057,795,234,task-Sleep,2072,task-Diffuse,1527,0,12256.2,,,,,
Fri Jan 01 12:28:38 CST 2010,DIRL,10,1158,482,114,task-Sleep,2268,task-Diffuse,1331,0,17421.3,,,,,
Fri Jan 01 12:28:38 CST 2010,DIRL,11,713,679,144,task-Sleep,2180,task-Diffuse,1419,0,16576.4,,,,,
Fri Jan 01 12:28:38 CST 2010,DIRL,12,344,192,91,task-10-0,960,task-Sleep,1996,task-Diffuse,643,0,13096.5,,,
Fri Jan 01 12:28:38 CST 2010,DIRL,13,1057,832,258,task-Sleep,2083,task-Diffuse,1516,0,12291.6,,,,,
Fri Jan 01 12:28:38 CST 2010,DIRL,14,1242,486,110,task-Sleep,2265,task-Diffuse,1334,0,16911.7,,,,,
Fri Jan 01 12:28:39 CST 2010,DIRL,15,1183,695,208,task-Sleep,2175,task-Diffuse,1424,0,14826.8,,,,,
Fri Jan 01 12:28:39 CST 2010,DIRL,16,1079,487,117,task-Sleep,2400,task-Diffuse,1199,1.806760293,null,,,,,
Fri Jan 01 12:28:39 CST 2010,DIRL,17,1158,490,135,task-Sleep,2309,task-Diffuse,1290,0.251374939,null,,,,,
Fri Jan 01 12:28:39 CST 2010,DIRL,18,953,547,192,task-10-0,415,task-Sleep,2014,task-Diffuse,1170,0,11677.1,,,
Fri Jan 01 12:28:39 CST 2010,DIRL,19,795,459,86,task-Sleep,2416,task-Diffuse,1183,2.50166778,null,,,,,
Fri Jan 01 12:28:39 CST 2010,DIRL,20,704,339,73,task-Sleep,2465,task-Diffuse,1134,3.535196181,null,,,,,
Fri Jan 01 12:28:40 CST 2010,DIRL,21,1034,639,151,task-Sleep,2068,task-Diffuse,1531,0,12712.4,,,,,
Fri Jan 01 12:28:40 CST 2010,DIRL,22,232,498,239,task-10-0,1202,task-Sleep,1801,task-Diffuse,596,0,8967.5,,,
Fri Jan 01 12:28:40 CST 2010,DIRL,23,1079,515,112,task-Sleep,2252,task-Diffuse,1347,0,17437.6,,,,,
Fri Jan 01 12:30:40 CST 2010,DIRL,1,657,617,101,task-Sleep,2185,task-Diffuse,1414,0,16685.4,,,,,
